,Song,Core catalogue release(s),Songwriter(s),Lead vocal(s)[d],Year,Ref(s)
95,I'll Get You,"Past Masters(B-side of ""She Loves You"")",LennonMcCartney,Lennon(with McCartney),1963,[50][75]
96,I'm a Loser,Beatles for Sale,LennonMcCartney,Lennon,1964,[59]
97,I'm Down,"Past Masters(B-side of ""Help!"")",LennonMcCartney,McCartney,1965,[50][76]
98,I'm Happy Just to Dance with You,A Hard Day's Night,LennonMcCartney,Harrison,1964,[56]
99,I'm Looking Through You,Rubber Soul,LennonMcCartney,McCartney,1965,[67]
100,I'm Only Sleeping,Revolver,LennonMcCartney,Lennon,1966,[57]
101,I'm So Tired,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
102,I've Got a Feeling,Let It Be,LennonMcCartney,McCartney(with Lennon),1970,[49]
103,I've Just Seen a Face,Help!,LennonMcCartney,McCartney,1965,[51]
104,In My Life,Rubber Soul,LennonMcCartney,Lennon,1965,[67]
105,The Inner Light,"Past Masters(B-side of ""Lady Madonna"")",Harrison,Harrison,1968,[50][77]
106,It Won't Be Long,With the Beatles,LennonMcCartney,Lennon,1963,[52]
107,It's All Too Much,Yellow Submarine,Harrison,Harrison,1969,[53]
108,It's Only Love,Help!,LennonMcCartney,Lennon,1965,[67]
109,Julia,"The Beatles (""White Album"")",LennonMcCartney,Lennon,1968,[60]
110,Kansas City/Hey-Hey-Hey-Hey!,Beatles for Sale,Jerry LeiberMike Stoller /Richard Penniman,McCartney,1964,[59]
111,"Komm, gib mir deine Hand",Past Masters,LennonMcCartneyJean NicolasHeinz Hellmer,LennonMcCartney,1964,[50][78]
112,Lady Madonna,Past Masters,LennonMcCartney,McCartney,1968,[50][77]
113,Let It Be,Let It BePast Masters,LennonMcCartney,McCartney,1970,[49][50]
114,Little Child,With the Beatles,LennonMcCartney,LennonMcCartney,1963,[52]
115,The Long and Winding Road,Let It Be,LennonMcCartney,McCartney,1970,[49]
116,Long Tall Sally,Past Masters,Robert BlackwellEnotris JohnsonRichard Penniman,McCartney,1964,[50]
117,"Long, Long, Long","The Beatles (""White Album"")",Harrison,Harrison,1968,[60]
118,Love Me Do,Please Please MePast Masters,LennonMcCartney,McCartney(with Lennon),1962,[58][50]
119,Love You To,Revolver,Harrison,Harrison,1966,[57]
120,Lovely Rita,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,McCartney,1967,[63]
121,Lucy in the Sky with Diamonds,Sgt. Pepper's Lonely Hearts Club Band,LennonMcCartney,Lennon,1967,[63]
122,Maggie Mae,Let It Be,"Traditional, arr.LennonMcCartneyHarrisonStarkey",Lennon(with McCartney),1970,[49]
123,Magical Mystery Tour,Magical Mystery Tour,LennonMcCartney,McCartney(with Lennon),1967,[55]
124,Martha My Dear,"The Beatles (""White Album"")",LennonMcCartney,McCartney,1968,[60]
125,Matchbox,Past Masters,Carl Perkins,Starr,1964,[50]
126,Maxwell's Silver Hammer,Abbey Road,LennonMcCartney,McCartney,1969,[62]
127,Mean Mr. Mustard,Abbey Road,LennonMcCartney,Lennon,1969,[62]
128,Michelle,Rubber Soul,LennonMcCartney,McCartney,1965,[67]
129,Misery,Please Please Me,LennonMcCartney,Lennon(with McCartney),1963,[58]
